regime,task_id,kv_caching,ratio,config_label,n_mc_samples,H_bits,se_bits,varentropy_bits,mean_length,confidence,greedy_length,cache_seq_length,gold,predicted_answer
sampled,0,full,,full,50,23.17238426208496,6.577075331929459,2162.89599609375,15.899999618530273,0.36415316845442075,6,1079,Miller v. California,Gates v. Collier
sampled,0,compressed,0.25,compressed@0.25,50,18.700927734375,3.8864934765117964,755.2415771484375,20.619998931884766,0.5333181901219118,6,809,Miller v. California,Gates v. Collier
sampled,0,compressed,0.75,compressed@0.75,50,15.225675582885742,4.454829032520146,992.2750854492188,15.859999656677246,0.5140552069108643,6,269,Miller v. California,Gates v. Collier
sampled,1,full,,full,50,1.523478627204895,0.1253014601032524,0.7850227952003479,4.519999980926514,0.7916568943537514,3,1104,Charles L. Clifford,David Niven
sampled,1,compressed,0.25,compressed@0.25,50,6.391320705413818,3.524424924001343,621.0785522460938,5.139999866485596,0.4223621200787272,3,828,Charles L. Clifford,David Niven
sampled,1,compressed,0.75,compressed@0.75,50,27.11394500732422,8.326999220344925,3466.94580078125,12.880000114440918,0.23243191120213644,3,276,Charles L. Clifford,David Niven
sampled,2,full,,full,50,10.843768119812012,1.635830139892902,133.79701232910156,6.139999866485596,0.2940052747377561,3,1082,Norman,Worcester
sampled,2,compressed,0.25,compressed@0.25,50,20.835933685302734,3.3146155169778933,549.3338012695312,9.0,0.20094829628157326,3,811,Norman,Worcester
sampled,2,compressed,0.75,compressed@0.75,50,35.00917053222656,17.27327347558939,14918.298828125,9.079999923706055,0.06907772766033281,3,270,Norman,Wichita
sampled,3,full,,full,50,13.382161140441895,2.9861686772753853,445.86016845703125,10.34000015258789,0.40775857998046594,2,1083,Sun,Jupiter
sampled,3,compressed,0.25,compressed@0.25,50,6.714295387268066,1.7317409438993303,149.9463348388672,7.179999828338623,0.522992202398859,2,812,Sun,Jupiter
sampled,3,compressed,0.75,compressed@0.75,50,11.93525505065918,3.993456409151961,797.3847045898438,7.119999885559082,0.31288406756470066,2,270,Sun,Jupiter
sampled,4,full,,full,50,19.568742752075195,2.5056854297090547,313.9229736328125,15.380000114440918,0.413984891463186,14,1075,erotic thriller film,No information is available about Atom Egoyan in the given passages.
sampled,4,compressed,0.25,compressed@0.25,50,20.067842483520508,2.287348307598438,261.5981140136719,18.68000030517578,0.4749028694741977,23,806,erotic thriller film,No information is available about Atom Egoyan's biggest commercial success on stage or on film in the provided passages.
